garden_area,terrace_area,locality,type_of_property,subtype_of_property,type_of_sale,zip_code,url,state_of_the_building,terrace,open_fire,swimming_pool,price,garden,number_of_facades,number_of_rooms,fully_equipped_kitchen,area,furnished,surface_of_the_land,area_text,bid,equipped_kitchen
171,20,ans,house,house,bid,4430,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/10147032?searchId=633aeaf1e42e4,good,1,0,0,159000,1,2,2,Semi equipped,122,0,335,numeric,1,1.0
0,0,gent,house,house,for-sale,9000,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10146903?searchId=633aeaf1e42e4,good,0,0,0,345000,0,2,4,USA installed,119,0,49,numeric,0,1.0
1000,52,galmaarden,house,villa,for-sale,1570,https://www.immoweb.be/en/classified/villa/for-sale/galmaarden/1570/9935270?searchId=633aeaf1e42e4,as new,1,0,0,570000,1,4,4,Hyper equipped,404,0,1000,numeric,0,1.0
140,0,forest,house,apartment-block,for-sale,1190,https://www.immoweb.be/en/classified/apartment-block/for-sale/forest/1190/10145907?searchId=633aeaf1e42e4,to rebuild,0,0,0,800000,1,2,4,Installed,350,0,263,numeric,0,1.0
0,14,waimes,house,house,for-sale,4950,https://www.immoweb.be/en/classified/house/for-sale/waimes/4950/10143254?searchId=633aeaf1e42e4,good,1,0,0,425000,0,4,3,Semi equipped,130,0,991,numeric,0,1.0
215,12,ronse,house,apartment-block,for-sale,9600,https://www.immoweb.be/en/classified/apartment-block/for-sale/ronse/9600/10143136?searchId=633aeaf1e42e4,good,1,0,0,450000,1,2,6,Installed,306,0,460,numeric,0,1.0
0,0,woluwe-saint-pierre,house,house,for-sale,1150,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10142887?searchId=633aeaf1e42e4,to renovate,0,0,0,750000,0,3,4,Installed,200,0,360,numeric,0,1.0
15324,80,dalhem,house,exceptional-property,bid,4607,https://www.immoweb.be/en/classified/exceptional-property/for-sale/dalhem/4607/10143366?searchId=633aeaf1e42e4,good,1,0,0,849000,1,4,6,Hyper equipped,1010,0,16959,numeric,1,1.0
430,0,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10140837?searchId=633aeaf1e42e4,to renovate,0,0,0,129000,1,2,3,Not installed,165,0,610,numeric,0,0.0
540,20,remicourt,house,house,for-sale,4350,https://www.immoweb.be/en/classified/house/for-sale/remicourt/4350/10140833?searchId=633aeaf1e42e4,good,1,0,0,300000,1,4,2,Installed,125,0,714,numeric,0,1.0
1737,30,chaumont-gistoux,house,villa,for-sale,1325,https://www.immoweb.be/en/classified/villa/for-sale/chaumont-gistoux/1325/10142058?searchId=633aeaf1e42e4,to rebuild,1,0,0,550000,1,4,4,Installed,203,0,1886,numeric,0,1.0
952,25,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10138497?searchId=633aeaf1e42e4,as new,1,0,0,359000,1,3,4,Hyper equipped,182,0,1424,numeric,0,1.0
145,30,ixelles,house,apartment-block,for-sale,1050,https://www.immoweb.be/en/classified/apartment-block/for-sale/ixelles/1050/10138311?searchId=633aeaf1e42e4,good,1,0,0,1000000,1,2,10,Hyper equipped,340,0,285,numeric,0,1.0
0,35,sterrebeek,house,villa,for-sale,1933,https://www.immoweb.be/en/classified/villa/for-sale/sterrebeek/1933/10138267?searchId=633aeaf1e42e4,good,1,1,0,1195000,0,4,7,Installed,540,0,1241,numeric,0,1.0
135,38,woluwe-saint-pierre,house,house,for-sale,1150,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10135994?searchId=633aeaf1e42e4,good,1,0,0,990000,1,2,4,USA semi equipped,388,0,387,numeric,0,1.0
380,0,chaudfontaine-beaufays,house,country-cottage,for-sale,4052,https://www.immoweb.be/en/classified/country-cottage/for-sale/chaudfontaine-beaufays/4052/10145147?searchId=633aeaf1e42e4,to renovate,0,0,0,325000,1,4,4,Not installed,180,0,555,numeric,0,0.0
0,27,schaerbeek,house,house,for-sale,1030,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10145148?searchId=633aeaf1e42e4,good,1,0,1,700000,0,2,8,USA hyper equipped,323,0,100,numeric,0,1.0
5341,21,lasne,house,villa,bid,1380,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10147050?searchId=633aeaf1e42e4,good,1,0,1,995000,1,4,6,Installed,278,0,5541,numeric,1,1.0
4300,80,braine-lalleud,house,villa,for-sale,1420,https://www.immoweb.be/en/classified/villa/for-sale/braine-lalleud/1420/10135164?searchId=633aeaf1e42e4,as new,1,0,0,1250000,1,4,5,USA hyper equipped,420,0,4677,numeric,0,1.0
0,25,schaerbeek,house,house,for-sale,1030,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10142950?searchId=633aeaf1e42e4,to rebuild,1,0,0,345000,0,2,4,Semi equipped,145,0,75,numeric,0,1.0
850,35,steenokkerzeel-melsbroek,house,house,for-sale,1820,https://www.immoweb.be/en/classified/house/for-sale/steenokkerzeel-melsbroek/1820/10068980?searchId=633aeaf1e42e4,as new,1,0,0,499000,1,3,3,Hyper equipped,170,0,1090,numeric,0,1.0
50,15,etterbeek,house,house,for-sale,1040,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10142944?searchId=633aeaf1e42e4,good,1,0,0,600000,1,2,5,Installed,171,0,120,numeric,0,1.0
285,15,huy,house,house,bid,4500,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10141775?searchId=633aeaf1e42e4,good,1,0,0,199500,1,2,4,Installed,160,0,365,numeric,1,1.0
540,20,remicourt,house,house,for-sale,4350,https://www.immoweb.be/en/classified/house/for-sale/remicourt/4350/10140834?searchId=633aeaf1e42e4,good,1,0,0,240000,1,4,2,Installed,125,0,620,numeric,0,1.0
3500,0,hannut,house,mixed-use-building,for-sale,4280,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/hannut/4280/10145324?searchId=633aeaf1e42e4,as new,0,0,0,750000,1,4,4,USA hyper equipped,276,0,4541,numeric,0,1.0
0,0,anderlecht,house,apartment-block,for-sale,1070,https://www.immoweb.be/en/classified/apartment-block/for-sale/anderlecht/1070/10147055?searchId=633aeaf1e42e4,to rebuild,0,0,0,1409000,0,3,5,Semi equipped,420,0,119,numeric,0,1.0
0,0,kuurne,house,house,for-sale,8520,https://www.immoweb.be/en/classified/house/for-sale/kuurne/8520/10144439?searchId=633aeaf1e42e4,good,0,0,0,310000,0,3,3,Installed,190,0,518,numeric,0,1.0
3500,40,hannut,house,country-cottage,for-sale,4280,https://www.immoweb.be/en/classified/country-cottage/for-sale/hannut/4280/10064809?searchId=633aeaf1e42e4,as new,1,0,0,750000,1,4,4,USA hyper equipped,276,0,4541,numeric,0,1.0
0,0,saint-nicolas,house,house,bid,4420,https://www.immoweb.be/en/classified/house/for-sale/saint-nicolas/4420/10130207?searchId=633aeaf1e42e4,good,0,0,0,120000,0,3,2,Installed,93,0,43,numeric,1,1.0
339,0,welkenraedt,house,apartment-block,bid,4841,https://www.immoweb.be/en/classified/apartment-block/for-sale/welkenraedt/4841/10130670?searchId=633aeaf1e42e4,good,0,0,0,255000,1,3,5,USA installed,230,0,432,numeric,1,1.0
339,0,welkenraedt,house,house,bid,4841,https://www.immoweb.be/en/classified/house/for-sale/welkenraedt/4841/10130669?searchId=633aeaf1e42e4,good,0,0,0,255000,1,3,5,USA installed,230,0,432,numeric,1,1.0
305,0,saint-georges-sur-meuse,house,house,for-sale,4470,https://www.immoweb.be/en/classified/house/for-sale/saint-georges-sur-meuse/4470/10136405?searchId=633aeaf1e42e4,good,0,0,0,229500,1,2,3,Installed,171,0,665,numeric,0,1.0
0,100,relegem,house,house,for-sale,1731,https://www.immoweb.be/en/classified/house/for-sale/relegem/1731/10137914?searchId=633aeaf1e42e4,as new,1,0,0,595000,0,4,4,Installed,220,0,422,numeric,0,1.0
0,0,arc-wattripont,house,other-property,for-sale,7910,https://www.immoweb.be/en/classified/other-property/for-sale/arc-wattripont/7910/10137617?searchId=633aeaf1e42e4,good,0,0,0,645000,0,4,4,Installed,260,0,2901,numeric,0,1.0
0,0,arc-wattripont,house,villa,for-sale,7910,https://www.immoweb.be/en/classified/villa/for-sale/arc-wattripont/7910/10137614?searchId=633aeaf1e42e4,good,0,0,0,645000,0,4,4,Installed,260,0,2901,numeric,0,1.0
0,0,genappe,house,house,bid,1470,https://www.immoweb.be/en/classified/house/for-sale/genappe/1470/10140917?searchId=633aeaf1e42e4,to rebuild,0,0,0,175000,0,2,2,Not installed,95,0,260,numeric,1,0.0
35,0,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10145344?searchId=633aeaf1e42e4,to renovate,0,0,0,109000,1,2,2,Semi equipped,127,0,100,numeric,0,1.0
14,0,hoegaarden,house,house,for-sale,3320,https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/10146157?searchId=633aeaf1e42e4,as new,0,0,0,235000,1,3,2,Hyper equipped,105,0,71,numeric,0,1.0
14,0,hoegaarden,house,house,for-sale,3320,https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/10146156?searchId=633aeaf1e42e4,as new,0,0,0,235000,1,3,2,Hyper equipped,100,0,65,numeric,0,1.0
450,0,chastre,house,house,for-sale,1450,https://www.immoweb.be/en/classified/house/for-sale/chastre/1450/10146060?searchId=633aeaf1e42e4,to renovate,0,0,0,310000,1,3,3,Semi equipped,118,0,752,numeric,0,1.0
0,0,waregem,house,villa,for-sale,8790,https://www.immoweb.be/en/classified/villa/for-sale/waregem/8790/10145124?searchId=633aeaf1e42e4,just renovated,0,0,0,575000,0,4,4,Installed,225,0,764,numeric,0,1.0
0,0,kerkhove,house,manor-house,for-sale,8581,https://www.immoweb.be/en/classified/manor-house/for-sale/kerkhove/8581/10144440?searchId=633aeaf1e42e4,just renovated,0,1,0,695000,0,4,5,Installed,350,0,1996,numeric,0,1.0
36,25,auderghem,house,house,for-sale,1160,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10139841?searchId=633aeaf1e42e4,to rebuild,1,0,0,649000,1,2,3,Not installed,219,0,135,numeric,0,0.0
0,27,evere,house,house,for-sale,1140,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/10134094?searchId=633aeaf1e42e4,good,1,0,0,499000,0,2,3,USA hyper equipped,155,0,177,numeric,0,1.0
0,0,appels,house,house,for-sale,9200,https://www.immoweb.be/en/classified/house/for-sale/appels/9200/10139439?searchId=633aeaf1e42e4,to rebuild,0,0,0,349000,0,4,4,Installed,197,0,617,numeric,0,1.0
0,0,roosdaal,house,house,for-sale,1760,https://www.immoweb.be/en/classified/house/for-sale/roosdaal/1760/10143558?searchId=633aeaf1e42e4,just renovated,0,0,0,980000,0,4,4,Hyper equipped,265,0,3300,numeric,0,1.0
0,5,forest,house,apartment-block,for-sale,1190,https://www.immoweb.be/en/classified/apartment-block/for-sale/forest/1190/10142968?searchId=633aeaf1e42e4,good,1,0,0,1300000,0,2,8,Not installed,600,0,100,numeric,0,0.0
0,14,zottegem,house,house,for-sale,9620,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/10126151?searchId=633aeaf1e42e4,to rebuild,1,0,0,225000,0,2,4,Semi equipped,194,0,100,numeric,0,1.0
360,2240,rixensart,house,villa,bid,1330,https://www.immoweb.be/en/classified/villa/for-sale/rixensart/1330/10127823?searchId=633aeaf1e42e4,good,1,0,0,499000,1,4,6,Installed,187,0,412,numeric,1,1.0
720,108,grez-doiceau,house,house,bid,1390,https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10127813?searchId=633aeaf1e42e4,just renovated,1,0,0,750000,1,3,4,Installed,220,0,815,numeric,1,1.0
150,0,ixelles,house,house,for-sale,1050,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10088204?searchId=633aeaf1e42e4,to renovate,0,0,0,1050000,1,2,4,Installed,235,0,271,numeric,0,1.0
1300,100,tervuren,house,house,for-sale,3080,https://www.immoweb.be/en/classified/house/for-sale/tervuren/3080/10126511?searchId=633aeaf1e42e4,good,1,1,0,1375000,1,4,6,Hyper equipped,350,0,1557,numeric,0,1.0
0,0,rendeux,house,other-property,bid,6987,https://www.immoweb.be/en/classified/other-property/for-sale/rendeux/6987/10136523?searchId=633aeaf1e42e4,to renovate,0,0,0,85000,0,2,3,Not installed,100,0,80,numeric,1,0.0
60,10,ronse,house,house,for-sale,9600,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10140836?searchId=633aeaf1e42e4,good,1,0,0,189000,1,2,2,Hyper equipped,144,0,170,numeric,0,1.0
0,0,dworp,house,house,for-sale,1653,https://www.immoweb.be/en/classified/house/for-sale/dworp/1653/10142388?searchId=633aeaf1e42e4,good,0,0,0,448000,0,3,4,Installed,150,0,429,numeric,0,1.0
67,0,jette,house,house,for-sale,1090,https://www.immoweb.be/en/classified/house/for-sale/jette/1090/10142685?searchId=633aeaf1e42e4,to rebuild,0,0,0,449990,1,2,5,Installed,255,0,149,numeric,0,1.0
250,30,bornival,house,house,bid,1404,https://www.immoweb.be/en/classified/house/for-sale/bornival/1404/10145131?searchId=633aeaf1e42e4,just renovated,1,0,0,349000,1,3,3,USA hyper equipped,117,0,407,numeric,1,1.0
100,40,auderghem,house,house,for-sale,1160,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/10145138?searchId=633aeaf1e42e4,to rebuild,1,0,0,495000,1,3,4,Installed,122,0,235,numeric,0,1.0
1546,60,lasne,house,villa,for-sale,1380,https://www.immoweb.be/en/classified/villa/for-sale/lasne/1380/10145935?searchId=633aeaf1e42e4,as new,1,0,0,935000,1,4,6,USA hyper equipped,237,0,1641,numeric,0,1.0
145,32,bruxelles,house,apartment-block,for-sale,1000,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10123715?searchId=633aeaf1e42e4,as new,1,0,0,2498000,1,2,7,USA semi equipped,570,1,314,numeric,0,1.0
37,12,gavere,house,house,for-sale,9890,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084879?searchId=633aeaf1e42e4,as new,1,0,0,325000,1,2,3,Hyper equipped,144,0,193,numeric,0,1.0
39,12,gavere,house,house,for-sale,9890,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084878?searchId=633aeaf1e42e4,as new,1,0,0,325000,1,2,3,Hyper equipped,144,0,195,numeric,0,1.0
35,12,gavere,house,house,for-sale,9890,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084880?searchId=633aeaf1e42e4,as new,1,0,0,339000,1,3,3,Hyper equipped,144,0,191,numeric,0,1.0
44,12,gavere,house,house,for-sale,9890,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/10084877?searchId=633aeaf1e42e4,as new,1,0,0,345000,1,3,3,Hyper equipped,152,0,208,numeric,0,1.0
0,0,affligem,house,house,for-sale,1790,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/9651402?searchId=633aeaf1e42e4,as new,0,0,0,403950,0,3,3,USA hyper equipped,215,0,321,numeric,0,1.0
530,30,alsemberg,house,house,for-sale,1652,https://www.immoweb.be/en/classified/house/for-sale/alsemberg/1652/10134578?searchId=633aeaf1e42e4,good,1,1,0,545000,1,4,3,Installed,180,0,700,numeric,0,1.0
0,0,sint-baafs-vijve,house,house,for-sale,8710,https://www.immoweb.be/en/classified/house/for-sale/sint-baafs-vijve/8710/10144445?searchId=633aeaf1e42e4,to rebuild,0,0,0,225000,0,3,3,Semi equipped,150,0,321,numeric,0,1.0
400,36,kapellen,house,house,for-sale,2950,https://www.immoweb.be/en/classified/house/for-sale/kapellen/2950/10143853?searchId=633aeaf1e42e4,as new,1,0,0,589000,1,3,4,Hyper equipped,234,0,594,numeric,0,1.0
0,0,grez-doiceau,house,house,for-sale,1390,https://www.immoweb.be/en/classified/house/for-sale/grez-doiceau/1390/10146649?searchId=633aeaf1e42e4,good,0,0,0,795000,0,4,4,Installed,271,0,47,numeric,0,1.0
0,10,saint-hubert,house,house,for-sale,6870,https://www.immoweb.be/en/classified/house/for-sale/saint-hubert/6870/10121408?searchId=633aeaf1e42e4,as new,1,0,0,175000,0,2,2,Not installed,124,0,721,numeric,0,0.0
0,0,soignies,house,villa,bid,7060,https://www.immoweb.be/en/classified/villa/for-sale/soignies/7060/10121699?searchId=633aeaf1e42e4,to rebuild,0,0,0,325000,0,4,4,Installed,220,0,1578,numeric,1,1.0
1110,0,durbuy,house,house,for-sale,6941,https://www.immoweb.be/en/classified/house/for-sale/durbuy/6941/10122283?searchId=633aeaf1e42e4,as new,0,0,0,550000,1,3,5,USA hyper equipped,330,0,1110,numeric,0,1.0
700,0,la-roche-en-ardenne,house,house,for-sale,6980,https://www.immoweb.be/en/classified/house/for-sale/la-roche-en-ardenne/6980/10130500?searchId=633aeaf1e42e4,to renovate,0,0,0,225000,1,3,3,Not installed,300,0,780,numeric,0,0.0
50,20,saint-josse-ten-noode,house,house,for-sale,1210,https://www.immoweb.be/en/classified/house/for-sale/saint-josse-ten-noode/1210/10130224?searchId=633aeaf1e42e4,as new,1,0,0,495000,1,2,4,USA hyper equipped,191,0,136,numeric,0,1.0
60,0,etterbeek,house,house,for-sale,1040,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/10130723?searchId=633aeaf1e42e4,to renovate,0,0,0,550000,1,2,2,Semi equipped,200,0,200,numeric,0,1.0
515,10,kraainem,house,house,for-sale,1950,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/10136628?searchId=633aeaf1e42e4,to renovate,1,0,0,510000,1,3,3,Hyper equipped,129,0,714,numeric,0,1.0
600,10,wezembeek-oppem,house,villa,for-sale,1970,https://www.immoweb.be/en/classified/villa/for-sale/wezembeek-oppem/1970/10136103?searchId=633aeaf1e42e4,good,1,0,0,845000,1,4,4,Hyper equipped,185,0,614,numeric,0,1.0
0,0,marke,house,villa,for-sale,8510,https://www.immoweb.be/en/classified/villa/for-sale/marke/8510/10137631?searchId=633aeaf1e42e4,good,0,1,0,1450000,0,4,4,Installed,515,0,3781,numeric,0,1.0
